
       #      w [eV]       Osc.Str.        Transition

 ==========================================================

     132     14.786       0.0000003        6   ->    31  
     133     14.847       0.0022229        6   ->    32  
     134     14.848       0.0022228        6   ->    33  
     135     15.162       0.0006756       29   ->    36  
     136     15.162       0.0006663       28   ->    36  
     137     15.181       0.0012731       10   ->    34  
     138     15.182       0.0012727       10   ->    35  
     139     15.327       0.0000384        5   ->    30  
     140     15.327       0.0000383        4   ->    30  
     141     15.356       0.0000000       27   ->    36  
     142     15.414       0.0000000       26   ->    36  
     143     15.425       0.0000401        5   ->    31  
     144     15.425       0.0000400        4   ->    31  
     145     15.484       0.0025266       29   ->    37  
     146     15.485       0.0025284       28   ->    37  
     147     15.486       0.0000005        5   ->    32  
     148     15.486       0.0005630        4   ->    32  
     149     15.487       0.0005631        5   ->    33  
     150     15.487       0.0000005        4   ->    33  
     151     15.679       0.0000000       27   ->    37  
     152     15.736       0.0000000       26   ->    37  
     153     15.893       0.0000208        9   ->    34  
     154     15.893       0.0032361        8   ->    34  
     155     15.894       0.0032354        9   ->    35  
     156     15.894       0.0000207        8   ->    35  
     157     15.976       0.0000000        3   ->    30  
     158     16.073       0.0000002        3   ->    31  
     159     16.091       0.0001385       25   ->    36  
     160     16.135       0.0014954        3   ->    32  
     161     16.136       0.0014948        3   ->    33  
     162     16.257       0.0004713       29   ->    38  
     163     16.257       0.0227936       28   ->    38  
     164     16.257       0.0227884       29   ->    39  
     165     16.258       0.0004705       28   ->    39  
     166     16.337       0.0001521        7   ->    34  
     167     16.338       0.0001521        7   ->    35  
     168     16.414       0.0000031       25   ->    37  
     169     16.416       0.0003061       24   ->    36  
     170     16.417       0.0003315       23   ->    36  
     171     16.452       0.0001738       27   ->    38  
     172     16.452       0.0001739       27   ->    39  
     173     16.509       0.0001842       26   ->    38  
     174     16.509       0.0001849       26   ->    39  
     175     16.540       0.0107250       29   ->    40  
     176     16.540       0.0107255       28   ->    40  
     177     16.734       0.0000001       27   ->    40  
     178     16.739       0.0261001       24   ->    37  
     179     16.739       0.0262221       23   ->    37  
     180     16.774       0.0000033       22   ->    36  
     181     16.792       0.0000000       26   ->    40  
     182     17.097       0.2711528       22   ->    37  
     183     17.187       0.1838209       25   ->    38  
     184     17.187       0.1839412       25   ->    39  
     185     17.330       0.0000000        2   ->    30  
     186     17.428       0.0000002        2   ->    31  
     187     17.469       0.2804744       25   ->    40  
     188     17.489       0.0013445        2   ->    32  
     189     17.490       0.0013456        2   ->    33  
     190     17.512       0.2844209       24   ->    38  
     191     17.512       0.0011407       23   ->    38  
     192     17.512       0.0011391       24   ->    39  
     193     17.512       0.2843791       23   ->    39  
     194     17.530       0.0165415       21   ->    36  
     195     17.530       0.0164055       20   ->    36  
     196     17.636       0.4703133       19   ->    36  
     197     17.713       0.2330011       18   ->    36  
     198     17.713       0.2340409       17   ->    36  
     199     17.794       0.2214772       24   ->    40  
     200     17.795       0.2215049       23   ->    40  
     201     17.853       0.0071228       21   ->    37  
     202     17.853       0.0072377       20   ->    37  
     203     17.870       0.1353691       22   ->    38  
     204     17.870       0.1351997       22   ->    39  
     205     17.939       0.0000001        1   ->    30  
     206     17.959       0.0000041       19   ->    37  
     207     18.036       0.0000004        1   ->    31  
     208     18.036       0.1784759       18   ->    37  
     209     18.036       0.1772061       17   ->    37  
     210     18.098       0.0034804        1   ->    32  
     211     18.098       0.0034797        1   ->    33  
     212     18.114       0.0156290       29   ->    41  
     213     18.114       0.0156507       28   ->    41  
     214     18.152       0.0000096       22   ->    40  
     215     18.308       0.0000001       27   ->    41  
     216     18.341       0.0000012       16   ->    36  
     217     18.366       0.0000000       26   ->    41  
     218     18.623       0.0019686        6   ->    34  
     219     18.624       0.0019681        6   ->    35  
     220     18.625       0.0005422       21   ->    38  
     221     18.626       0.0032242       21   ->    39  
     222     18.626       0.0032275       20   ->    38  
     223     18.626       0.0005428       20   ->    39  
     224     18.664       0.1402127       16   ->    37  
     225     18.670       0.0000001       15   ->    36  
     226     18.670       0.0000001       14   ->    36  
     227     18.732       0.0003383       19   ->    38  
     228     18.732       0.0003346       19   ->    39  
     229     18.809       0.0000770       18   ->    38  
     230     18.809       0.0000642       17   ->    38  
     231     18.809       0.0000660       18   ->    39  
     232     18.809       0.0000862       17   ->    39  
     233     18.908       0.0072253       21   ->    40  
     234     18.908       0.0071838       20   ->    40  
     235     18.946       0.0000009       13   ->    36  
     236     18.993       0.0000389       15   ->    37  
     237     18.993       0.0000386       14   ->    37  
     238     19.014       0.0000436       19   ->    40  
     239     19.043       0.0000001       25   ->    41  
     240     19.091       0.0091881       18   ->    40  
     241     19.091       0.0092635       17   ->    40  
     242     19.262       0.0000007        5   ->    34  
     243     19.262       0.0002682        4   ->    34  
     244     19.263       0.0002682        5   ->    35  
     245     19.263       0.0000007        4   ->    35  
     246     19.269       0.0000001       13   ->    37  
     247     19.294       0.0000005       12   ->    36  
     248     19.368       0.2740468       24   ->    41  
     249     19.368       0.2734880       23   ->    41  
     250     19.437       0.0147828       16   ->    38  
     251     19.437       0.0147785       16   ->    39  
     252     19.616       0.0340227       12   ->    37  
     253     19.710       0.0005115       11   ->    36  
     254     19.719       0.0000010       16   ->    40  
     255     19.726       0.0022734       22   ->    41  
     256     19.765       0.0000457       15   ->    38  
     257     19.766       0.0000006       14   ->    38  
     258     19.766       0.0000006       15   ->    39  
     259     19.766       0.0000464       14   ->    39  
     260     19.911       0.0009686        3   ->    34  
     261     19.912       0.0009677        3   ->    35  
     262     20.033       0.0000006       11   ->    37  
     263     20.042       0.0025992       13   ->    38  
     264     20.042       0.0026286       13   ->    39  
     265     20.048       0.0029646       15   ->    40  
     266     20.048       0.0029739       14   ->    40  
     267     20.324       0.0264047       13   ->    40  
     268     20.389       0.0495985       12   ->    38  
     269     20.389       0.0496039       12   ->    39  
     270     20.482       0.0124647       21   ->    41  
     271     20.482       0.0124614       20   ->    41  
     272     20.588       0.0000001       19   ->    41  
     273     20.665       0.0718630       18   ->    41  
     274     20.665       0.0718198       17   ->    41  
     275     20.672       0.0000027       12   ->    40  
     276     20.806       0.0520800       11   ->    38  
     277     20.806       0.0520931       11   ->    39  
     278     20.829       0.0136556       29   ->    42  
     279     20.830       0.0128389       28   ->    42  
     280     20.869       0.0098791       29   ->    43  
     281     20.870       0.0106743       28   ->    43  
     282     21.024       0.0000000       27   ->    42  
     283     21.064       0.0000001       27   ->    43  
     284     21.081       0.0000001       26   ->    42  
     285     21.088       0.0755476       11   ->    40  
     286     21.121       0.0000000       26   ->    43  
     287     21.124       0.0041546       29   ->    44  
     288     21.125       0.0005366       28   ->    44  
     289     21.125       0.0005370       29   ->    45  
     290     21.125       0.0041502       28   ->    45  
     291     21.266       0.0016564        2   ->    34  
     292     21.266       0.0016575        2   ->    35  
     293     21.293       0.0386712       16   ->    41  
     294     21.318       0.0000001       10   ->    36  
     295     21.319       0.0000083       27   ->    44  
     296     21.319       0.0000083       27   ->    45  
     297     21.377       0.0000087       26   ->    44  
     298     21.377       0.0000087       26   ->    45  
     299     21.622       0.0166473       15   ->    41  
     300     21.622       0.0166368       14   ->    41  
     301     21.640       0.0033874       10   ->    37  
     302     21.759       0.5660995       25   ->    42  
     303     21.799       0.0003175       25   ->    43  
     304     21.874       0.0034900        1   ->    34  
     305     21.874       0.0034886        1   ->    35  
     306     21.898       0.0000000       13   ->    41  
     307     22.030       0.0000961        9   ->    36  
     308     22.030       0.0001014        8   ->    36  
     309     22.054       0.0000248       25   ->    44  
     310     22.054       0.0000022       25   ->    45  
     311     22.084       0.2300012       24   ->    42  
     312     22.084       0.2497126       23   ->    42  
     313     22.124       0.2104669       24   ->    43  
     314     22.124       0.1910381       23   ->    43  
     315     22.246       0.1219534       12   ->    41  
     316     22.352       0.0037838        9   ->    37  
     317     22.353       0.0037916        8   ->    37  
     318     22.379       0.0000030       24   ->    44  
     319     22.379       0.0001239       23   ->    44  
     320     22.379       0.0000781       24   ->    45  
     321     22.380       0.0000016       23   ->    45  
     322     22.413       0.0155294       10   ->    38  
     323     22.413       0.0155355       10   ->    39  
     324     22.442       0.0003097       22   ->    42  
     325     22.474       0.0027064        7   ->    36  
     326     22.482       0.5743062       22   ->    43  
     327     22.662       0.0000001       11   ->    41  
     328     22.696       0.0000008       10   ->    40  
     329     22.737       0.0007587       22   ->    44  
     330     22.737       0.0007273       22   ->    45  
     331     22.797       0.0000001        7   ->    37  
     332     23.125       0.0297157        9   ->    38  
     333     23.125       0.0007239        8   ->    38  
     334     23.125       0.0007238        9   ->    39  
     335     23.126       0.0297318        8   ->    39  
     336     23.198       0.0022134       21   ->    42  
     337     23.198       0.0020454       20   ->    42  
     338     23.238       0.0015649       21   ->    43  
     339     23.238       0.0017356       20   ->    43  
     340     23.304       0.0388010       19   ->    42  
     341     23.344       0.0000275       19   ->    43  
     342     23.381       0.0192383       18   ->    42  
     343     23.381       0.0205208       17   ->    42  
     344     23.408       0.0133584        9   ->    40  
     345     23.408       0.0133518        8   ->    40  
     346     23.421       0.0310888       18   ->    43  
     347     23.421       0.0298857       17   ->    43  
     348     23.493       0.0248448       21   ->    44  
     349     23.493       0.0008828       20   ->    44  
     350     23.493       0.0008935       21   ->    45  
     351     23.493       0.0248446       20   ->    45  
     352     23.570       0.0198780        7   ->    38  
