         841           6
     1   S    1.8847887369E-01
  8.0378247281E-01  1.7565815422E-01 -4.7319136512E-01 -2.8302664838E-01 -8.8233076328E-04 -2.5573361297E-04
 -1.7349778449E-03 -1.2167595414E-03  2.4446532053E-04  1.4196856766E-04 -1.3741551763E-04  1.6861971227E-04
  1.0299044966E-01  8.8101473881E-03  8.5344566972E-02 -2.0907365917E-02 -1.1086535884E-06  4.8651456295E-05
  3.1521462597E-04 -3.7261170642E-03 -4.3923836206E-05  5.3687307775E-03 -1.6158653146E-03  4.6558191745E-03
 -2.3147424322E-06  9.9169367045E-06 -2.8213439315E-05  2.7889978030E-05 -9.8473468044E-06  1.0751644115E-05
 -3.0093259293E-04 -1.2232051624E-03  3.8438293609E-04  1.2822625726E-04  6.8167068560E-04 -7.2957964669E-06
  2.2074993821E-06 -2.3677674758E-06 -1.1350991696E-06  7.5208930548E-06  4.5732270580E-06 -2.7620168839E-04
  3.5277736083E-04 -1.4016119968E-05 -9.2803935543E-05  1.0814800787E-03 -1.6676260814E-04  4.7632059545E-04
  3.4546771903E-07  6.5123904355E-08  1.7377339438E-07  6.0331807681E-06 -3.5909611714E-06  1.1216987277E-05
 -2.3139465091E-04 -9.4299721009E-04  5.5652093419E-05  1.4515925193E-03 -4.2070523180E-04  1.4195861088E-03
  3.8294219137E-08  7.9384915177E-07 -1.1623378529E-05  1.0110346590E-05  4.2183782644E-07  6.4610580230E-07
  2.1310372353E-06  1.0481723842E-06  1.8454937559E-06 -2.1095965777E-06  3.2009339177E-06 -3.6719241642E-05
 -9.7295203925E-04 -1.6110162854E-04  9.9573314228E-07 -1.1569627548E-03  1.9110006510E-04 -2.2796435448E-06
  5.1342423666E-05  2.0936348755E-04  6.9216558020E-07 -2.6757656612E-06 -2.0129575200E-05  2.3478496938E-04
 -1.1266111289E-04  6.8488448307E-04 -6.5399391083E-07  2.0677790235E-06  1.4704367809E-06  1.3077680243E-06
  5.0705083142E-05  3.0889692574E-04  2.7644448855E-06 -8.6796846937E-06 -1.3453117116E-05 -1.8076681333E-06
 -7.1745380323E-07  1.2736357091E-06  1.7856933386E-04  7.2761042939E-04  5.7795884358E-05 -3.5065893666E-04
  1.7964794860E-06 -3.0282887309E-06 -5.4296080978E-07 -5.9265537680E-07 -2.3381864996E-05 -2.7840725968E-04
